"id","api_datetime","ask","bid","market_date_time","regular_market_change_percent","regular_market_price","regular_market_time","symbol","type"
"21","1741930810","85.55","85.5","2025-03-14 13:25:00","-0.116752446","85.55","1741929900","0005.HK","M5"
"22","1741931110","353","352.8","2025-03-14 13:30:06","2.4404397","352.6","1741930206","0388.HK","M5"
"23","1741931110","524","523.5","2025-03-14 13:30:08","3.1527092","523.5","1741930208","0700.HK","M5"
"24","1741931110","85.5","85.45","2025-03-14 13:30:01","-0.17513312","85.5","1741930201","0005.HK","M5"
"25","1741931410","355","354.8","2025-03-14 13:35:08","3.137707","355","1741930508","0388.HK","M5"
"26","1741931410","525.5","525","2025-03-14 13:35:08","3.546798","525.5","1741930508","0700.HK","M5"
"27","1741931410","85.75","85.7","2025-03-14 13:35:00","0.17513312","85.8","1741930500","0005.HK","M5"
"28","1741931710","354.6","354.4","2025-03-14 13:40:02","3.0214972","354.6","1741930802","0388.HK","M5"
"29","1741931710","525","524.5","2025-03-14 13:40:09","3.3497536","524.5","1741930809","0700.HK","M5"
"30","1741931710","85.8","85.75","2025-03-14 13:40:04","0.05837177","85.7","1741930804","0005.HK","M5"
"31","1741932010","354.4","354.2","2025-03-14 13:45:08","2.8471782","354","1741931108","0388.HK","M5"
"32","1741932010","524.5","524","2025-03-14 13:45:07","3.2512314","524","1741931107","0700.HK","M5"
"33","1741932010","85.8","85.75","2025-03-14 13:45:00","0.17513312","85.8","1741931100","0005.HK","M5"
"34","1741932310","355.2","355","2025-03-14 13:50:06","3.1958163","355.2","1741931406","0388.HK","M5"
"35","1741932310","526.5","526","2025-03-14 13:50:05","3.6453202","526","1741931405","0700.HK","M5"
"36","1741932310","85.8","85.75","2025-03-14 13:50:09","0.17513312","85.8","1741931409","0005.HK","M5"
"37","1741932610","355.2","354.8","2025-03-14 13:55:06","3.137707","355","1741931706","0388.HK","M5"
"38","1741932610","527","526.5","2025-03-14 13:55:06","3.6453202","526","1741931706","0700.HK","M5"
"39","1741932610","85.8","85.75","2025-03-14 13:55:00","0.116752446","85.75","1741931700","0005.HK","M5"
"40","1741932910","355.4","355.2","2025-03-14 14:00:04","3.1958163","355.2","1741932004","0388.HK","M5"
"41","1741932910","527","526.5","2025-03-14 14:00:09","3.9408867","527.5","1741932009","0700.HK","M5"
"42","1741932910","85.9","85.85","2025-03-14 14:00:02","0.23350489","85.85","1741932002","0005.HK","M5"
"43","1741933210","355.2","355","2025-03-14 14:05:08","3.137707","355","1741932308","0388.HK","M5"
"44","1741933210","527","526.5","2025-03-14 14:05:05","3.8423645","527","1741932305","0700.HK","M5"
"45","1741933210","85.95","85.9","2025-03-14 14:05:08","0.29188558","85.9","1741932308","0005.HK","M5"
"46","1741933510","355.4","355","2025-03-14 14:10:05","3.137707","355","1741932605","0388.HK","M5"
"47","1741933510","527.5","527","2025-03-14 14:10:09","3.8423645","527","1741932609","0700.HK","M5"
"48","1741933510","85.95","85.9","2025-03-14 14:10:07","0.35025734","85.95","1741932607","0005.HK","M5"
"49","1741933810","354","353.6","2025-03-14 14:15:07","2.963388","354.4","1741932907","0388.HK","M5"
"50","1741933810","525.5","524.5","2025-03-14 14:15:09","3.4482758","525","1741932909","0700.HK","M5"
"51","1741933810","85.85","85.8","2025-03-14 14:15:08","0.23350489","85.85","1741932908","0005.HK","M5"
"52","1741934112","354.8","354.2","2025-03-14 14:20:04","2.963388","354.4","1741933204","0388.HK","M5"
